"线路名称","上车站点","上车人数","吸引权重"
68,1,5,0.003
68,2,41,0.025
68,3,108,0.065
68,4,51,0.031
68,5,16,0.01
68,6,5,0.003
68,7,19,0.012
68,8,3,0.002
68,9,15,0.009
68,10,43,0.026
68,11,76,0.046
68,12,137,0.083
68,13,5,0.003
68,14,75,0.045
68,15,81,0.049
68,16,3,0.002
68,17,72,0.044
68,18,4,0.002
68,19,5,0.003
68,20,13,0.008
68,21,17,0.01
68,22,10,0.006
68,23,3,0.002
68,24,12,0.007
68,25,21,0.013
68,26,15,0.009
68,27,4,0.002
68,28,33,0.02
68,29,6,0.004
68,30,261,0.158
68,31,257,0.156
68,32,9,0.005
68,33,47,0.029
68,34,27,0.016
68,35,6,0.004
68,36,42,0.025
68,37,70,0.042
68,38,5,0.003
68,39,27,0.016
