"线路名称","上车站点","上车人数","下车人数"
"68路",37,70,0
"68路",31,257,0
"68路",5,16,0
"68路",10,43,0
"68路",11,76,0
"68路",3,108,0
"68路",6,5,0
"68路",12,137,0
"68路",17,72,1
"68路",30,261,7
"68路",34,27,2
"68路",33,47,5
"68路",36,42,7
"68路",29,6,2
"68路",18,4,1
"68路",8,3,1
"68路",2,41,40
"68路",7,19,24
"68路",28,33,53
"68路",20,13,26
"68路",15,81,179
"68路",23,3,8
"68路",27,4,8
"68路",25,21,65
"68路",14,75,245
"68路",9,15,51
"68路",13,5,17
"68路",39,27,95
"68路",4,51,187
"68路",1,5,16
"68路",21,17,58
"68路",26,15,53
"68路",24,12,43
"68路",38,5,20
"68路",32,9,41
"68路",16,3,21
"68路",19,5,43
"68路",22,10,136
"68路",35,6,162
