"线路名称","上车站点","上车人数"
"68","1","5"
"68","2","41"
"68","3","108"
"68","4","51"
"68","5","16"
"68","6","5"
"68","7","19"
"68","8","3"
"68","9","15"
"68","10","43"
"68","11","76"
"68","12","137"
"68","13","5"
"68","14","75"
"68","15","81"
"68","16","3"
"68","17","72"
"68","18","4"
"68","19","5"
"68","20","13"
"68","21","17"
"68","22","10"
"68","23","3"
"68","24","12"
"68","25","21"
"68","26","15"
"68","27","4"
"68","28","33"
"68","29","6"
"68","30","261"
"68","31","257"
"68","32","9"
"68","33","47"
"68","34","27"
"68","35","6"
"68","36","42"
"68","37","70"
"68","38","5"
"68","39","27"
