Line ID,Date,Output,Input
A3E0102,2010/11/1,5566.8,3931.8
A3E0102,2010/11/2,5860.8,4157.9
A3E0102,2010/11/3,5314.8,3458.7
A3E0102,2010/11/4,5259.6,3426.1
A3E0102,2010/11/5,5520,3585.3
A3E0102,2010/11/8,4058.4,2596.3
A3E0102,2010/11/9,4354.8,2841.3
A3E0102,2010/11/10,5048.4,3290
A3E0102,2010/11/11,5043.6,3318.2
A3E0102,2010/11/12,5190,3466.4
A3E0102,2010/11/15,5169.6,3477.1
A3E0102,2010/11/16,5168.4,3554
A3E0102,2010/11/17,5042.4,3339.1
A3E0102,2010/11/18,5491.2,3606.9
A3E0102,2010/11/19,6078,4847.3
A3E0102,2010/11/22,5638.8,4863.2
A3E0102,2010/11/23,5887.2,4848.9
A3E0102,2010/11/24,5973.6,4838.8
A3E0102,2010/11/25,5577.6,4523.4
A3E0102,2010/11/26,5874,5156.5
A3E0102,2010/11/29,5804.4,5061.6
A3E0102,2010/11/30,5847.6,5011.9
A3E0102,2010/12/1,4926,4220.4
A3E0102,2010/12/2,2899.2,2236.1
A3E0102,2010/12/3,1609.2,1310.3
A3E0102,2010/12/6,3082.8,2460.9
A3E0102,2010/12/7,2330.4,1895.4
A3E0102,2010/12/8,3309.6,2649.9
A3E0102,2010/12/9,3174,2500.2
A3E0102,2010/12/10,2982,2373.3
A3E0102,2010/12/13,2240.4,1834.4
A3E0102,2010/12/14,3073.2,2473.3
A3E0102,2010/12/15,2979.6,2419.2
A3E0102,2010/12/16,2354.4,1945.9
A3E0102,2010/12/17,3196.8,2560
A3E0102,2010/12/20,2114.4,1701.6
A3E0102,2010/12/21,769.2,637.7
A3E0102,2010/12/22,2302.8,1869.1
A3E0102,2010/12/23,2634,2151.6
A3E0102,2010/12/24,2248.8,1814.5
A3E0102,2010/12/27,2401.2,2151.6
A3E0102,2010/12/28,3996,3481.3
A3E0102,2010/12/29,4675.2,4066
A3E0102,2010/12/30,1314,1095.4
A3E0102,2010/12/31,452.4,358.7
